hashtags,favorite_count,retweet_count,user_location
ref openaccess,0,"8, 2","York, UK, Anglia Ruskin University, England, Sheffield"
recherche,0,1,"Ile-de-France, France"
raredisease openaccess,"0, 5",9,"College Park, MD, Germany / UK, Sioux Falls, South Dakota, USA, LHR | SFO | SEA, United States, Bengaluru/Odisha, Sydney, Australia, Buckinghamshire"
quantifiedpipi,0,11,"Ile-de-France, France"
p��tition openaccess LoiNumerique,"0, 2",4,"Marseille, France, Nantaise �� Paris, Lyon, France, Paris"
publishing openaccess,0,0,
publishing academia openaccess,0,0,
publishing OpenAccess SciHub,"2, 0",1,"London, England, Kingston, WA"
publishers elsevier openaccess,0,0,
publicDomain openAccess,0,0,"Swarthmore, PA"
prozent openaccess,0,0,"G�_ttingen, Deutschland"
printmaking openaccess drypoint printspotters,"0, 2",1,"Wales, United Kingdom, London"
preprint scientificpublishing ref2020 openaccess,"0, 2",2,Bristol  (origins Norn Iron)
preprint openaccess,2,0,
predatorypublishers scholarlycommunications openaccess oa,0,1,Namur (Belgium)
podcast openaccess,"0, 1","5, 0","International core journal, London, UK, Dublin, Ireland"
plutocracy openaccess openscience,0,0,"Springfield, Missouri (US)"
phylogenetic openaccess,0,0,Global
phdchat research education openaccess,0,0,Toronto
pasteur4oa openaccess,1,0,"ankara, turkey"
pasteur4oa Research Innovation openaccess rri,0,9,Europe
parution livrenumerique epub,0,1,"Ile-de-France, France"
paper openaccess,0,0,"Rocha, Uruguay"
palaeontology openaccess Palaeontologiaafricana,1,0,South Africa
orphanwork marketfailure openaccess s105 NEAsp16 copyright,0,1,"Somerville, MA, Boston, MA"
opus4 KOBV Hosting openaccess repositories,1,0,Berlin
opensw openhw opensource openmind openaccess,0,0,"��T: 45.506396,12.267366"
opensource openaccess opendata openscience,"0, 1",1,"Potomac Falls, Virginia, Charlottesville, VA"
opensource openaccess 4profit highered,0,0,Paris
openscience tdm openaccess oa,"1, 0",2,"Metz, France, Ile-de-France, France"
openscience policy openaccess opendata,0,5,"Potomac Falls, Virginia, Vienna, Austria, Schillerplatz 3, 1010 Wien, Vienna"
openscience openresearch openaccess,0,1,"Buckinghamshire, ��stanbul, T�_rkiye"
openscience openaccess science research future,"3, 0",3,"Berlin, Berlin, Boston, San Francisco, Barcelona, Catalu��a"
openscience openaccess opendata opened reddit,"0, 3",2,"San Francisco, CA, Berlin, Germany"
openscience openaccess ctdata AllTrials,"0, 1",3,"Oxfordshire, London, UK, Chicago"
openscience openaccess ASAPbio,"0, 2",2,"Medford, MA, Canada, Berlin, Germany"
openscience openaccess,"0, 5, 1, 2, 4","1, 4, 2, 0","Buckinghamshire, Den Haag, Netherlands, London, Montr��al, Qu��bec CANADA, Montr��al, Skopje, Macedonia, London & Oxford, UK, Eindhoven, The Netherlands, Davis, CA"
openscience datascience openaccess,0,"0, 1","Belgique, Belgium"
openscience PJLN TDM Openaccess RUE2016,0,"0, 1","Paris, Versailles, France"
openscience PJLN TDM Openaccess,0,"3, 0","Paris, Bourges, Paris, France"
openscience AAG2016 openaccess,1,0,
openforsubmissions openaccess robotics,"0, 2",4,"London, Croatia"
opendata openaccess reproducibility,0,2,"Sydney, Australia, Buckinghamshire, Darnestown, MD"
opendata openaccess DataDay3,0,1,"Ottawa, Ontario, Ireland"
opendata openaccess,"1, 0, 3","3, 1, 8, 0","Waterloo, Ontario, Buckinghamshire, Potomac Falls, Virginia, Ontario, Canada, Germany, Netherlands, Berkeley, CA, USA, Oxford, England, Stockholm, Sweden, Earth., Richland, WA, Madrid, London, England"
opendata librarian research phd,0,0,London
opendata datasharing openaccess,0,0,
opendata OpenVT VirginiaTech,0,0,"Gen��ve, Suisse"
opendata,0,1,Australia
opencon openaccess opendata openeducation,"1, 0",3,"Charlottesville, VA, ATL, Pittsburgh, PA"
opencon openaccess opendata,0,0,
openaccess ��___________�___�,0,2,"_�__����_���, Russia, Buckinghamshire"
openaccess worldkidneyday,0,1,Buckinghamshire
openaccess womeninscience,0,0,"Bristol, UK"
openaccess whatever,3,0,"New Hampshire, USA"
openaccess weneedaccess,0,0,Mexico
openaccess vacancies,0,35,"Ile-de-France, France, Around the World, Paris, Ile-de-France, Worldwide, Barcelona, Spain, Cambridge, UK, ISSN Internat. Centre - Paris, Montevideo, Uruguay, Yeumbeul - Ngor - Dakar"
openaccess urbanplanning,"0, 4",3,"Open Access | ISSN: 2183-2803, Open Access | ISSN: 2183-2463, Stockholm, Sweden, Open Access"
openaccess transparency,1,0,
openaccess technoveille kebetu,"1, 0",2,"Yeumbeul - Ngor - Dakar, Buckinghamshire"
openaccess tech,0,1,Buckinghamshire
openaccess springerlink,0,0,
openaccess solar IET Rewewable,0,1,"Worldwide, London, England"
openaccess softwarelibre,0,0,
openaccess smartcities VUWSSO,"0, 1",1,"Buckinghamshire, Southampton"
openaccess signhere,"0, 6",9,"The Hague, South Holland, United Kingdom, Berlin, Germany, Sydney, Australia, Belgium, Keele & Bangor, UK., Seattle, WA"
openaccess seasonal,0,1,"Buckinghamshire, L�_beck, Germany"
openaccess scihub,0,0,"Leeds, UK"
openaccess science research,"0, 8",11,"Poitiers, New York, NY, Amsterdam , Philadelphia, PA, Kuching, Sarawak, Malaysia, Italia, Germany, Dresden"
openaccess science biology chemistry,0,0,"UK, United Kingdom"
openaccess science H2020 scipol,"0, 2",3,"Europe, Full Professor @Uni_FI, Ottawa,Canada"
openaccess science,"1, 0",1,Buckinghamshire
openaccess scicomm,1,0,California
openaccess sciart,"0, 2",2,"Edinburgh, Berlin, Boston, San Francisco, Barack O Town"
openaccess scholcomms Elsevier Wiley,1,0,"Sydney, New South Wales"
openaccess scholcomm oer,"1, 0",2,"chicago, Ames, Iowa, Chicago, IL"
openaccess scholcomm librarian research publisher,"2, 0",1,"London, St Andrews, Fife, Scotland"
openaccess scholcomm librarian research,1,0,London
openaccess scholcomm,"0, 2, 14, 23","7, 10, 2, 14","Ames, Iowa, Northeast, Buckinghamshire, NYC  SF  Seattle  Lawrence, Tallahassee, FL, Ostrava, Czech Republic, Virginia, USA, International, Porto Alegre - RS, Midwest, USA, Denton, Texas, Arlington, TX, Guill��n, GZ / Culhuac��n, MX, London, United Kingdom, Brooklyn, NY, Curitiba, Auckland, NZ, New Delhi, India, India, Miami, FL, Ukraine, Kyiv, LHR | SFO | SEA, African continent, Roma"
openaccess scholarlypublishing,0,1,"New York, NY, Buckinghamshire"
openaccess rue2016,"0, 1","2, 0","Paris, Universit�� Paris 8, Paris, France, Senegal | Benin | Togo"
openaccess robotics AI,0,4,"Classified, Earth, Laniakea, Buckinghamshire, Cyberspace, London"
openaccess respiratory epidemiology,"1, 0","2, 1, 0","Based in Malaysia, Michigan, USA, Buckinghamshire"
openaccess resilience,0,1,"Canada, Buckinghamshire"
openaccess researchmatters,1,0,Ohio
openaccess research2016,"0, 6",2,"Barcelona, Spain, Sarri�� de Ter, Catalunya"
openaccess research km,1,0,
openaccess research,"0, 1","1, 0","Baltimore, Buckinghamshire"
openaccess repository Sudan,0,0,
openaccess repository LatinAmerica codesria4coep,0,4,"Cape Town, Leiden, The Netherlands, South Africa, Buenos Aires"
openaccess repository DINIzertifikat2013 KOBV Hosting opus4,0,0,Berlin
openaccess repositories,"0, 2",3,"Mountain View, Nagoya, Aichi, Japan, Cuenca, Espa��a (Spain), Madrid, Spain"
openaccess relevantresearch clarity,0,0,"Macclesfield, England"
openaccess referencerot,"0, 3",5,"The Hague and Utrecht , Eindhoven, The Netherlands, Norfolk, VA, Zuid-Holland, Nederland, Den Haag, Netherlands, Santa Fe, NM, USA"
openaccess recherche loinumerique,0,8,
openaccess recherche,"1, 0","0, 1","Paris, Sanhattan-Barcelona-Catalonia"
openaccess readyfortheREF,0,2,"Oxford, Bristol, UK, St Anne's College, Oxford"
openaccess quality,0,3,"Hannover, Deutschland, Switzerland, T�_bingen, Baden-W�_rttemberg"
openaccess publishing,"0, 2",3,"Bucharest, Leuven Belgium, Montr��al, Qu��bec, Buckinghamshire"
openaccess publichealth copyright,"0, 16",27,"Londres, provincia de C�_rdoba, Washington, DC, United States, Visit the website:, In my box. , UMR BIPAR, Paris, France, State College, Pennsylvania, UK, Washington DC, Brisbane, Queensland, Nova Europa, Sydney, Australia, LHR | SFO | SEA, Ann Arbor, MI, palmer.fliss@gmail.com, Paris, Wroclaw, Gdansk, London, Ottawa, Ontario, Seattle, WA, Brisbane, Australia, Leuven Belgium, Raleigh-Durham, Washington, D.C., Seattle, India, England, United Kingdom"
openaccess publichealth,0,0,London
openaccess publicdomain oers,0,0,"Arlington, TX"
openaccess predatorypublisher scientificpaperscam,0,0,"Barcelona, Catalunya"
openaccess postdocproblems,0,1,"Qu��bec, QC Canada"
openaccess polsci,0,4,"Colchester, UK, Paris, France, Pisa, World Wide, Buckinghamshire"
openaccess pimpmylaptop,0,0,"Berlin, Germany"
openaccess photovoltaic,0,"2, 1","Worldwide, London, England, Buckinghamshire"
openaccess phonetics,"0, 1",1,"Groningen, Nederland"
openaccess philosophy,"2, 0",1,"UK, Virginia"
openaccess phdthesis,0,0,"Birmensdorf (ZH), Z�_rich"
openaccess pescedaprile,0,0,
openaccess peerreview,"0, 7",7,"Canada, Buckinghamshire, LinkedIn https://goo.gl/pNJL9V, Toronto, Ontario, Visit the website:, Uni Hosps of Morecambe Bay, Quito-Ecuador, Texas, USA"
openaccess peace,"0, 1",1,"Buckinghamshire, OH...There��_���"
openaccess participant research social contract,0,2,"London, England"
openaccess ornithology,"0, 1","3, 1","San Antonio, TX, UK, Texas, U.S.A., Buckinghamshire"
openaccess opensourcehardware FOSS,2,0,"Alpine, TX"
openaccess openscience opendata,1,0,Maastricht
openaccess openscience librarian research,0,2,"Belgium - Walloon Brabant, London, Stockholm"
openaccess openscience ip,"1, 0",3,"Ikegami, Tokyo, Japan, Buckinghamshire, LHR | SFO | SEA"
openaccess openscience,"0, 8, 1, 2, 4, 10","22, 2, 1, 74, 7, 12, 5, 4","M��rida, Yucat��n, M��xico., London, UK, Vienna, Austria, Buckinghamshire, Eindhoven, The Netherlands, LHR | SFO | SEA, South West, England, Berlin, Boston, San Francisco, Hobart, San Antonio, TX, USA, Oak Grove, Texas, Tartu, Berlin, Germany, The internet, Bengaluru, Karnataka, India, The Rim, London, England, Ghent, Belgium, Japan, Imperial College London, Central Asia | Tajikistan, Bangalore, Paris, France, Lawrence, Kansas USA, Venezuela, Berlin, Oxford, UK , Barcelona, Aix-en-Provence, France, Copenhagen, USA, Phoenix, AZ, Glasgow, Washington D.C., Portland, OR, Toronto, ON, Bogot��, Colombia, Lancaster, England, Dundee, UK, Stockholm, Sweden, Paris, Ile-de-France, Sydney, Australia, Denton, Texas, Rio de Janeiro, Brasil, Cologne, singapore, greece & online"
openaccess openresearch,"0, 4, 1","1, 5, 0","Buckinghamshire, Regensburg, Corvallis, OR, Oregon, New York, NY"
openaccess openrecords transparency,0,1,"Philadelphia, PA, United States"
openaccess openotebook,0,4,"Mountain View, CA, Estudiando como un cabr�_n, Toronto, Ontario, Buckinghamshire"
openaccess openeducation uofg,0,0,"Guelph, Ontario"
openaccess openeducation OA,0,1,"Guelph, Ontario, Buckinghamshire"
openaccess openeducation,0,0,UBC Vancouver
openaccess opendata scholcomm,"0, 8",3,"Buckinghamshire, Indianapolis, IN, USA, Washington, DC, Pittsburgh, PA"
openaccess opendata openscience,"0, 9",14,"Charlottesville, VA, Madrid, Comunidad de Madrid, Boston, MA & Washington, DC, Buckinghamshire, Oxford, UK , Stockholm, Sverige, Burke, VA, LHR | SFO | SEA, Blacksburg, VA, Madrid, Fairfax, VA, Indiana"
openaccess opendata Transparency,0,2,Stanford University
openaccess opendata,"0, 1, 3","8, 18, 1, 2, 0","Tilburg, the Netherlands, Amsterdam , Utrecht, The Netherlands, Potomac Falls, Virginia, Netherlands, Buckinghamshire, Twente, OV, NL, EU, Eindhoven, The Netherlands, @LIBEReurope , Delft, Torino, Piemonte, Sydney, Australia, Nederland, Hilversum, Noord-Holland, All over, baby, Ede, Netherlands, Arlington, TX, Trento, Brussels, Belgium, Amsterdam, Ostrava, Czech Republic, M��xico, Amsterdam, the Netherlands"
openaccess opencon,2,0,
openaccess openaccess,"0, 1","2, 1","clarksville, arkansas, 72830, Stirling, Buckinghamshire, London"
openaccess ojs,0,0,"Hove, UK"
openaccess oer,0,6,"Vienna - Austria, Vienna, Austria, Vienna and Berlin"
openaccess occupantbehavior energy HumanFactor,1,0,"Calgary, Ab., Canada"
openaccess oatransition,"0, 1","8, 11, 2, 42, 6","Paris, France, London & Oxford, UK, Munich, Germany, Buckinghamshire, Zurich, Switzerland, Deutschland & UK, UK, Germany, Karlsruhe, Germany / UK, National Library of Sweden, M�_nster, Barcelona, Hannover, Niedersachsen, Berlin, Knoxville, TN, Vienna, Austria, Hannover, Germany"
openaccess oacountdown,"0, 2","2, 1","Coventry, UK, Leeds, UK"
openaccess oa2020,"1, 0","0, 1","Leeds, UK, Buckinghamshire, Rostock, Deutschland, United Kingdom"
openaccess oa jiscoa,"0, 1",2,"London WC1E 7HU, North East, England, UK"
openaccess oa,"0, 3, 1, 2, 11, 7","28, 0, 8, 2, 5, 1","Ithaca, NY, Hilversum, Noord-Holland, S��o Paulo, London, Leuven Belgium, The World, Buckinghamshire, orcid.org/0000-0002-1526-0863, Regensburg, UMR BIPAR, Paris, France, Hamburg, Canterbury, Kent, UK, Charlottesville, VA, Klosterneuburg, Ottawa, Ontario, Cagliari, He/Him/His, Lyon - CRNL, Arlington, TX, Vienna, Atlanta, Georgia, Berkeley, CA, Germany, Stockholm, London, UK, New York, NY, Ann Arbor, MI, Madrid, Spain, Aalborg, Universitat Rovira I Virgili, Lancaster University, UK, Paris, Copenhagen, Barcelona, Belgium - Walloon Brabant, Victoria, British Columbia, Malaysia, Singapore  , Oslo, Norway, Tristram, Bonn, Germany, Roma, Boston, MA, Sheffield, UK, California | New Hampshire, Cambridge, MA"
openaccess national_libraries openaccess,0,1,"Paris, France, Buckinghamshire"
openaccess national_libraries NLS,0,0,"Paris, France"
openaccess muteswan,0,1,"Slimbridge, Gloucestershire"
openaccess musetech,"0, 3, 2, 5, 12","1, 2, 3, 8","Buckinghamshire, New York City, los angeles, Tempe, AZ, Indianapolis, Washington, D.C., Washington, DC, NoVA, Chicago"
openaccess metrics,0,2,"Adelaide, Australia, Buckinghamshire, Bengaluru, India"
openaccess medlibs,0,0,"Winnipeg, MB"
openaccess medicine,0,0,London
openaccess medicalinformatics,"1, 0",1,"New York City and Greece, Buckinghamshire"
openaccess medical ehealth healthcare digitalhealth,0,0,
openaccess media coverage climatechange environmentalcommunication,"1, 0",2,"Zurich, Switzerland, Heidelberg/Karlsruhe"
openaccess maths bioscience,"1, 0",1,Swansea
openaccess makerspace analog,"5, 0",1,"Salzgitter / Lower Saxony, Buckinghamshire"
openaccess longlive elephants,"0, 1",2,Stirling
openaccess loinumerique,0,0,Toulouse
openaccess lifelonglearning infolit librarylife,"3, 0",2,Western MA
openaccess libraries OA,0,0,"Paris, France"
openaccess libraries,0,0,"Paris, France, United Kingdom / Canada, Seattle, WA"
openaccess librarian scholcomm research academic,1,0,London
openaccess librarian publisher academic research phdchat scholcomm student opendata openscience monograph,0,1,"Potomac Falls, Virginia, London"
openaccess librarian monograph,"0, 1",3,"Buckinghamshire, The Hague, London"
openaccess librarian bibliotheque research phd,"1, 0",1,"London, Belgium - Walloon Brabant"
openaccess libguides libchat medlibs,0,3,"Bristol, UK"
openaccess law metrics,0,1,"Sydney, New South Wales, Buckinghamshire"
openaccess laser forest Lidar,0,1,"Plymouth, England"
openaccess knowledge research,0,1,"Buckinghamshire, Paris"
openaccess kidscience,0,0,
openaccess journal scholcomm librarian openscience research phd,"1, 0",1,"London, Caltech Library"
openaccess journal digitalarthistory doingdah,"0, 2",2,"Intersection Public & Digital, LMU Munich"
openaccess journal,0,"2, 0","Barcelona (Spain), Buckinghamshire, Calgary, Canada, Barcelona"
openaccess jiscoa edtech,"7, 0",7,"UK, Manchester, Leicester, England, Fairfax, VA"
openaccess investment,0,0,Doha
openaccess internalmedicine internists,"1, 0",2,"Utrecht, Leiden, The Netherlands, Houten"
openaccess intellectualproperty,0,0,Madrid
openaccess infectingCT,0,"1, 0","Buckinghamshire, Cape Town, Jozi"
openaccess impact author researcher almetrics phdchat librarian openscience monographs journals academic,1,0,London
openaccess idl2016,0,0,Germany
openaccess histsci,0,0,"New York/Cambridge, Cambridge, UK"
openaccess histofsci,0,3,"Cambridge, UK, UK"
openaccess highered,0,"1, 0","London, Vermont"
openaccess hefce,"0, 2",6,"Leeds, UK, Glasgow, Belfast, Liverpool, UK, London, England"
openaccess healthcare Parents Stillborn Baby,"2, 0",1,"Preston, Lancashire, UK, Preston, Lancashire"
openaccess groepsfoto,0,5,"T�_bingen, Baden-W�_rttemberg, Hilversum, Noord-Holland, Den Haag, Oegstgeest, Nederland, Buckinghamshire"
openaccess grant compliance,"1, 0",1,"Arlington, TX, Grand Rapids, MI"
openaccess geoscience modeling,"0, 3",6,"Lima, Per�_, Colorado, The Paleocene epoch (66-56 Ma), Buckinghamshire, Tulsa, Oklahoma, USA, Nottingham"
openaccess geology astrobiology biogeochemistry ecology evolution,0,0,
openaccess genetics genomics precisionmed scichat,0,0,Colorado & Florida
openaccess genetics,0,0,London
openaccess funding research scholcomm librarian,0,0,London
openaccess freepublication peerreview UniversityofRealTimeChem,0,0,"Pretoria, South Africa"
openaccess free publicart infectingtheCT,1,0,Cape Town
openaccess forschung hochschule,0,1,"Buckinghamshire, Baden-Baden"
openaccess feedly,0,0,Roma
openaccess evidenceinformedpolicy healthcareinformation,0,3,"170 countries worldwide, #next1000days #Race4Survival, Buckinghamshire, Washington DC USA"
openaccess erl16,0,1,"Alexandria, VA"
openaccess eplikt upphovsr�_tt informationstillg��ng,0,2,"Stockholm,Sweden, Stockholm, Sverige, Karlstad, Sweden"
openaccess environmental,0,1,Buckinghamshire
openaccess energy,1,0,
openaccess editorspick,0,1,"Buckinghamshire, Maryland, U.S."
openaccess ecosystems research,"0, 2",5,"Sierra Nevada, Granada (Spain), Taiwan, Europe, Buckinghamshire"
openaccess ecology editorial,"2, 0",1,"Regina, Canada, Buckinghamshire"
openaccess ebook monograph librarian research academic phd,0,0,London
openaccess dirtyelectricity,0,0,Bristol
openaccess dinosaur,"0, 8",6,"Bristol, England, England, London, UK, Liverpool John Moores , Oxford, England, South West England"
openaccess digitalpublishing,0,1,"Buckinghamshire, Somerville MA"
openaccess digitalhumanities wissenschaft,"0, 2",2,"Buckinghamshire, Berlin, HU Berlin"
openaccess digbrit,"0, 3",2,"USA, Buckinghamshire, Cambridge, MA"
openaccess datasharing researchparasites openscience,0,0,"Boston, MA"
openaccess data global research openscience openinnovation,0,36,Deutschland & UK
openaccess cyberpsychology,0,1,Online
openaccess critlib,0,0,
openaccess criminology,0,1,"Winnipeg, Canada, Buckinghamshire"
openaccess crayfish invsp ecology,"0, 3",4,"Derby, UK, Maryland, USA, Stirling, Scotland, Slimbridge, Gloucestershire"
openaccess copyright howopenisit RRI,"0, 2","2, 0","EU citizen in Barcelona, Europe, Berlin, Barcelona"
openaccess copyright,0,"18, 0","Ghent, Athens, GR , Brussels, Belgium, The internet, La Haya, Holanda Meridional, Torino, Piemonte, Athens, Greece"
openaccess conservation Volunteers citizenscience,0,0,Peru
openaccess conbio invasivespecies,0,0,"Fort Collins, CO"
openaccess codesria4coep,"0, 2, 1","1, 4, 3, 0","Leuven Belgium, Kennesaw, GA, Buenos Aires, Cape Town, South Africa, Germany, iPhone: 45.446743,-75.618813, Buckinghamshire"
openaccess cjcday,"1, 0",1,"Winnipeg, Canada, University of Winnipeg"
openaccess chercheurs,0,0,Rh��ne-Alpes Auvergne
openaccess chemistry,0,0,UK
openaccess changetheworld,0,0,
openaccess casereport,0,2,"London, UK, Buckinghamshire, Bheerkot-10, Syangja, Nepal"
openaccess canada eduction,0,1,"Manchester, UK"
openaccess caaoslo,"0, 12",8,"York, UK, Spain, Uppsala, Sweden, Wiltshire, Cambridge/Leicester/Stockholm, Oviedo, Colorado Springs, CO, Visby, SE"
openaccess braininjuryawarenessmonth,0,1,Buckinghamshire
openaccess book veterinary science,"0, 2",1,Croatia
openaccess book textiles textiletechnology new happyfriday,1,0,Croatia
openaccess book Nanocomposite nanomaterials,"0, 1",1,Croatia
openaccess bmcpsychiatry lgb mentalhealth,0,0,London
openaccess biotech,0,"0, 2, 1","Washington, DC, Florida, USA, Buckinghamshire"
openaccess biophysics,0,0,Tuebingen (Germany)
openaccess bigplan firemonkey social_it techlab16,"0, 1",1,"The South, Japan"
openaccess bibtag16,0,3,Berlin
openaccess bibsen kebetu,"2, 1, 0, 3, 5","2, 3, 4, 1","Dakar/S��n��gal, Dakar, Yeumbeul - Ngor - Dakar, Buckinghamshire, Senegal, Africa/Afrique, Poitiers"
openaccess bibsen,"1, 0",1,"Dakar/S��n��gal, Yeumbeul - Ngor - Dakar"
openaccess bibseb kebetu,"0, 1",1,"Buckinghamshire, Dakar/S��n��gal"
openaccess biblioth��que BU,1,0,Aix-en-Provence - Marseille
openaccess bibliotheque librarian scholcomm monograph academic recherche,0,0,London
openaccess backtowork crowdfunding dontgiveup,"0, 1",1,
openaccess avointiede,"0, 1",7,"Helsinki, Finland, Helsinki, Satakunta, Finland , Buckinghamshire"
openaccess avoindata,"1, 0",1,"Helsinki, Finland"
openaccess autism,0,1,
openaccess archivesouvertes republique,0,1,"Paris, France"
